Instance,Nodes,Edges,GRASP_Size,GRASP_Time,GRASP_Status,GRASP_Timeout_Estimate,GRASP_Timeout_Method,GRASP_Iterations
C125.9,125,6963,33,1.801198,COMPLETED,N/A,No timeout,123
C250.9,250,27984,40,5.843724,COMPLETED,N/A,No timeout,124
C500.9,500,112332,48,27.419779,COMPLETED,N/A,No timeout,147
C1000.9,1000,450079,56,159.713517,COMPLETED,N/A,No timeout,208
C2000.9,2000,1799532,61,181.139363,COMPLETED,3854.027387943674,Baseado na taxa de progresso das iterações,47
DSJC1000_5,1000,249826,13,21.711471,COMPLETED,N/A,No timeout,190
DSJC500_5,500,62624,12,3.087066,COMPLETED,N/A,No timeout,101
C2000.5,2000,999836,14,93.510558,COMPLETED,N/A,No timeout,150
C4000.5,4000,4000268,15,182.442355,COMPLETED,3508.504587870378,Baseado na taxa de progresso das iterações,52
MANN_a27,378,70551,120,71.768367,COMPLETED,N/A,No timeout,104
MANN_a45,1035,533115,332,185.395226,COMPLETED,18539.504718780518,Baseado na taxa de progresso das iterações,10
MANN_a81,3321,5506380,1080,1161.820705,COMPLETED,1161820.5885887146,Baseado na taxa de progresso das iterações,1
brock200_2,200,9876,11,0.998727,COMPLETED,N/A,No timeout,146
brock200_4,200,13089,15,1.218336,COMPLETED,N/A,No timeout,118
brock400_2,400,59786,22,10.002684,COMPLETED,N/A,No timeout,202
brock400_4,400,59765,22,7.20903,COMPLETED,N/A,No timeout,135
brock800_2,800,208166,18,15.74428,COMPLETED,N/A,No timeout,123
brock800_4,800,207643,18,14.313614,COMPLETED,N/A,No timeout,112
gen200_p0.9_44,200,17910,37,4.2671,COMPLETED,N/A,No timeout,115
gen200_p0.9_55,200,17910,49,7.795079,COMPLETED,N/A,No timeout,195
gen400_p0.9_55,400,71820,46,31.880816,COMPLETED,N/A,No timeout,206
gen400_p0.9_65,400,71820,45,20.747866,COMPLETED,N/A,No timeout,139
gen400_p0.9_75,400,71820,49,26.387756,COMPLETED,N/A,No timeout,170
hamming10-4,1024,434176,34,50.366807,COMPLETED,N/A,No timeout,107
hamming8-4,256,20864,16,1.52874,COMPLETED,N/A,No timeout,101
keller4,171,9435,11,0.670953,COMPLETED,N/A,No timeout,109
keller5,776,225990,23,29.895212,COMPLETED,N/A,No timeout,159
keller6,3361,4619898,42,183.851381,COMPLETED,7660.467227300009,Baseado na taxa de progresso das iterações,24
p_hat300-1,300,10933,8,0.96806,COMPLETED,N/A,No timeout,104
p_hat300-2,300,21928,25,4.658956,COMPLETED,N/A,No timeout,171
p_hat300-3,300,33390,33,4.61,COMPLETED,N/A,No timeout,103
p_hat700-1,700,60999,9,4.967546,COMPLETED,N/A,No timeout,101
p_hat700-2,700,121728,39,17.033344,COMPLETED,N/A,No timeout,109
p_hat700-3,700,183010,53,60.908828,COMPLETED,N/A,No timeout,226
p_hat1500-1,1500,284923,10,25.188926,COMPLETED,N/A,No timeout,121
p_hat1500-2,1500,568960,50,71.663549,COMPLETED,N/A,No timeout,109
p_hat1500-3,1500,847244,70,180.613912,COMPLETED,1299.3799044931534,Baseado na taxa de progresso das iterações,139
