Instance,Nodes,Edges
C125.9,125,6963
C250.9,250,27984
C500.9,500,112332
C1000.9,1000,450079
C2000.9,2000,1799532
DSJC1000_5,1000,499652
DSJC500_5,500,125248
C2000.5,2000,999836
C4000.5,4000,4000268
MANN_a27,378,70551
MANN_a45,1035,533115
MANN_a81,3321,5506380
brock200_2,200,9876
brock200_4,200,13089
brock400_2,400,59786
brock400_4,400,59765
brock800_2,800,208166
brock800_4,800,207643
gen200_p0.9_44,200,17910
gen200_p0.9_55,200,17910
gen400_p0.9_55,400,71820
gen400_p0.9_65,400,71820
gen400_p0.9_75,400,71820
hamming10-4,1024,434176
hamming8-4,256,20864
keller4,171,9435
keller5,776,225990
keller6,3361,4619898
p_hat300-1,300,10933
p_hat300-2,300,21928
p_hat300-3,300,33390
p_hat700-1,700,60999
p_hat700-2,700,121728
p_hat700-3,700,183010
p_hat1500-1,1500,284923
p_hat1500-2,1500,568960
p_hat1500-3,1500,847244
